	shannon_entropy
X101.Horse	9.206723065240563
X102.Kulan	7.5639210579463345
X109.Red.Fox	2.3623355121673737
X110.Noctule	2.944382257098412
X111.West.European.Hedgehog	4.44319598529682
X122.Wild.Boar	6.786563339586957
X123.Alpine.Chamois	7.776236771517847
X127.Alpine.Marmot	7.571265816921604
X128.Alpine.Marmot	7.256819182261476
X129.Alpine.Ibex	8.100736060826522
X130.Alpine.Ibex	8.13022496987066
X136.Domestic.Pig	6.775634918788382
X137.Gaur	5.565826350583774
X138.Gaur	6.4176454947584665
X139.Sambar	4.435701539704979
X140.Sambar	7.565462969669105
X202.Human	4.526375137571522
X223.Human	4.1358484077130395
X231.Brown.Bear	2.3281111533566334
X247.Common.Hamster	5.983356067438923
X252.Eurasian.Lynx	4.735181062229231
X279.Western.Grey.Kangaroo	7.76586853992215
X283.Koala	4.241189236614645
X301.European.Hare	4.640228129332307
X338.White.beaked.Dolphin	2.637323544922732
X340.Western.Lowland.Gorilla	6.171071393575539
X347.Brown.Bear	4.020996135070485
X389.Indian.Rhinoceros	7.801229523980705
X390.European.Ground.Squirrel	7.4918333849171885
X394.Przewalski.horse	5.827842687622043
X395.Przewalski.horse	8.890280156970062
X407.African.Bush.Elephant	6.32471869962851
X408.African.Bush.Elephant	6.868813724721479
X412.Lion	3.8811045328812055
X413.Lion	3.835770286024025
X414.Vervet.Monkey	7.072206039586749
X415.White.Rhinoceros	8.06661610294236
X416.White.Rhinoceros	7.36512610443537
X417.Giraffe	7.478712593999
X418.Giraffe	6.869890162186117
X423.Quagga	6.863442044828003
X424.Quagga	8.195304215295149
X428.African.Bush.Elephant	7.148063241047706
X429.Giraffe	8.17731607764315
X430.Giraffe	8.770849816029934
X431.Quagga	8.542766081659577
X432.Vervet.Monkey	7.270824348762955
X433.Raccoon	3.259160340079942
X77.Onager	8.777931566835843
X81.Wolf	3.454517160614753
X85.Domestic.Dog	3.663609393059959
X88.European.Rabbit	8.22770374317334
X89.Fat.Dormouse	0.7193441713894869
X96.European.Hare	5.976195879882031
X11.Onager	8.695470536467653
X13.Wolf	2.6421245552801222
X16.Fat.Dormouse	3.661936482776351
X18.West.European.Hedgehog	1.1915653610930381
X19.European.Ground.Squirrel	7.842670809122945
X199.Human	6.208065602548861
X201.Human	5.631929810086452
X203.Red.Deer	8.744265874232605
X221.Alpine.Ibex	8.26290515820655
X224.Domestic.Cat	5.639344374353963
X226.Domestic.Cat	5.7285009837628165
X228.Domestic.Cat	5.450135171837172
X235.Pygmy.Slow.Loris	5.623746249082699
X236.Pygmy.Slow.Loris	5.537510852987355
X243.Noctule	0.6855534955984479
X280.Western.Grey.Kangaroo	8.013959709704231
X285.Short.beaked.Echidna	5.7816924284966635
X286.Short.beaked.Echidna	3.1075837084554783
X287.Common.Brushtail	7.168717638588964
X288.Common.Brushtail	6.625333720212819
X289.Eastern.Grey.Kangaroo	7.350865786480464
X290.Eastern.Grey.Kangaroo	3.662093895214827
X3.Alpine.Chamois	7.935138447009795
X302.European.Hare	6.690387225446247
X304.European.Hare	5.394309493567092
X306.European.Hare	5.326784285626583
X307.European.Hare	4.362102062743624
X310.Domestic.Cat	3.6210868271067693
X315.Red.Deer	8.587603360776663
X339.White.beaked.Dolphin	3.338941267405523
X341.Western.Lowland.Gorilla	6.0275300128310425
X344.Indian.Rhinoceros	6.958683609424068
X348.European.Rabbit	7.538804368135297
X353.Raccoon	3.83814924251993
X354.Hoffmanns.Two.toed.Sloth	5.286427378636981
X355.Hoffmanns.Two.toed.Sloth	3.5917714946765575
X356.Northern.Tamandua	3.7579596017629293
X357.Northern.Tamandua	3.785057827260786
X368.European.Ground.Squirrel	8.04685327181823
X369.Koala	4.779996509859202
X370.African.Bush.Elephant	6.587076805287122
X376.Kulan	8.73480362658964
X380.Wild.Boar	7.767378113467039
X381.Wild.Boar	7.25362607908522
X382.Arctic.Wolf	2.5817497054781366
X383.Arctic.Wolf	4.7189514121941
X384.Eurasian.Lynx	3.2538616007634156
X4.Red.Fox	3.910518810157291
X5.European.Hare	4.350995288558391
X6.Common.Hamster	7.937945563930273
F35.Red.Deer	8.490448948675002
F36.Red.Deer	6.834918075516353
F42.Fallow.Deer	7.168155459891362
F44.Fallow.Deer	8.72585251819595
F45.Red.Deer	8.653451509690802
F47.Red.Deer	8.810104167668278
F48.Red.Deer	8.959200953474157
F66.Wild.Boar	7.304363066236692
F68.Red.Deer	8.426181687280929
F69.Red.Deer	8.442566873786943
F70.Red.Deer	8.413261851402268
F80.Red.Deer	8.999028949266009
F90.Domestic.Dog	4.3941158236361275
